Entity,Code,Year,gdp_per_capita,youth_unemployment
Samoa,WSM,2024,7686.2495,12.667
Sao Tome and Principe,STP,2024,5491.2983,8.56
Saudi Arabia,SAU,2024,62792.773,11.502
Senegal,SEN,2024,4460.924,3.868
Serbia,SRB,2024,25596.127,21.448
Sierra Leone,SLE,2024,3098.763,3.492
Singapore,SGP,2024,132569.53,6.329
Slovakia,SVK,2024,40319.055,18.995
Slovenia,SVN,2024,48648.906,11.029
Solomon Islands,SLB,2024,2353.248,2.936
Somalia,SOM,2024,1409.335,34.137
South Africa,ZAF,2024,13597.654,60.248
South Asia (WB),WB_SA,2024,9654.166,15.14364
South Korea,KOR,2024,55070.938,6.434
Spain,ESP,2024,48460.293,26.631
Sri Lanka,LKA,2024,13752.837,19.062
Sub-Saharan Africa (WB),WB_SSA,2024,4872.6357,10.081473
Suriname,SUR,2024,19179.102,24.942
Sweden,SWE,2024,62978.938,24.336
Switzerland,CHE,2024,82286.18,8.238
Tajikistan,TJK,2024,4755.933,14.556
Tanzania,TZA,2024,3713.263,2.334
Thailand,THA,2024,21740.541,4.66
Togo,TGO,2024,2960.7754,3.4
Trinidad and Tobago,TTO,2024,31960.156,7.993
Tunisia,TUN,2024,12774.916,38.85
Turkey,TUR,2024,36154.492,16.287
Turkmenistan,TKM,2024,18662.299,9.335
Uganda,UGA,2024,2879.6702,4.211
United Arab Emirates,ARE,2024,69701.805,6.425
United Kingdom,GBR,2024,52621.18,14.316
United States,USA,2024,75489.266,8.92
Upper-middle-income countries,OWID_UMC,2024,21731.496,16.183664
Uruguay,URY,2024,32038.773,26.698
Uzbekistan,UZB,2024,10450.205,10.809
Vanuatu,VUT,2024,3172.0476,11.425
Vietnam,VNM,2024,14415.216,6.338
World,OWID_WRL,2024,21395.531,13.298354
Zambia,ZMB,2024,3708.069,10.102
Zimbabwe,ZWE,2024,5215.253,15.429
