Entity,Code,Year,gdp_per_capita,tertiary_education,youth_unemployment,life_expectancy
Jersey,JEY,2023,,,,79.7071
Jordan,JOR,2023,9381.3545,33.0567,38.837,77.8145
Kazakhstan,KAZ,2023,34703.234,54.6564,3.814,74.4021
Kenya,KEN,2023,5691.825,,15.164,63.6459
Kiribati,KIR,2023,3140.5833,,,66.4731
Kosovo,OWID_KOS,2023,14240.203,,,78.0326
Kuwait,KWT,2023,47777.402,,15.091,80.4047
Kyrgyzstan,KGZ,2023,6575.7754,53.58882,8.451,71.677
Laos,LAO,2023,8372.156,14.88417,2.176,68.9637
Latin America and Caribbean (WB),WB_LAC,2023,19656.629,58.26063,13.415512,
Latvia,LVA,2023,37277.723,85.73606,12.323,76.1898
Lebanon,LBN,2023,11330.269,54.40126,22.744,77.817
Lesotho,LSO,2023,2595.8296,,24.738,57.3749
Liberia,LBR,2023,1616.9237,,2.215,62.1625
Libya,LBY,2023,12476.598,,49.864,69.3389
Liechtenstein,LIE,2023,,,,83.6298
Lithuania,LTU,2023,46159.707,,13.712,76.025
Luxembourg,LUX,2023,130048.92,,18.848,82.2294
Macao,MAC,2023,104815.2,129.15105,6.557,83.0749
Madagascar,MDG,2023,1629.4609,6.14666,5.43,63.6317
Malawi,MWI,2023,1649.2987,,6.842,67.3535
Malaysia,MYS,2023,32857.668,37.274582,12.146,76.6571
Maldives,MDV,2023,22333.047,,14.124,81.0412
Mali,MLI,2023,2860.4282,,3.861,60.4394
Malta,MLT,2023,57488.105,80.52501,9.323,83.2989
Marshall Islands,MHL,2023,6801.6147,,,66.9454
Martinique,MTQ,2023,,,,82.5651
Mauritania,MRT,2023,6276.475,,23.24,68.4836
Mauritius,MUS,2023,26635.012,,16.448,74.9263
Mayotte,MYT,2023,,,,76.0544
Mexico,MEX,2023,21917.248,,5.844,75.069
Micronesia (country),FSM,2023,3814.7202,,,67.1983
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2023,14294.246,,18.499048,
Moldova,MDA,2023,15990.4795,,4.031,71.1985
Monaco,MCO,2023,,,,86.3724
Mongolia,MNG,2023,16222.864,67.9414,11.605,71.7341
Montenegro,MNE,2023,25922.184,55.1743,23.335,77.0869
Montserrat,MSR,2023,,,,76.1857
Morocco,MAR,2023,8915.352,47.4687,21.974,75.3128
Mozambique,MOZ,2023,1512.2764,,11.471,63.6111
Myanmar,MMR,2023,5364.138,,10.069,66.889
Namibia,NAM,2023,10137.673,,37.129,67.3848
Nauru,NRU,2023,12372.5205,,,62.1094
Nepal,NPL,2023,4861.2305,19.03576,20.43,70.3537
